"Fact","Fact Note","Kings County, New York","Value Note for Kings County, New York","Queens County, New York","Value Note for Queens County, New York","United States","Value Note for United States"
"With a disability, under age 65 years, percent, 2018-2022","","6.0%","","5.8%","","8.9%",""
"Persons without health insurance, under age 65 years, percent","","6.5%","","8.7%","","9.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","63.7%","","63.6%","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","60.1%","","58.2%","","58.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","4,361,700","","4,593,736","","938,237,077",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","20,989,493","","15,735,791","","2,527,903,275",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","2,409,494","","20,371,315","","895,225,411",""
"Total retail sales, 2017 ($1,000)","(c)","28,734,814","","19,297,120","","4,949,601,481",""
"Total retail sales per capita, 2017","(c)","$11,076","","$8,408","","$15,224",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","42.7","","43.6","","26.7",""
"Median household income (in 2022 dollars), 2018-2022","","$74,692","","$82,431","","$75,149",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$43,165","","$39,201","","$41,261",""
"Persons in poverty, percent","","19.8%","","13.1%","","11.1%",""
"Total employer establishments, 2022","","61,287","","50,822","","8,298,562",""
"Total employment, 2022","","694,266","","579,883","","135,748,407",""
"Total annual payroll, 2022 ($1,000)","","34,622,738","","32,965,718","","8,965,035,263",""
"Total employment, percent change, 2021-2022","","7.9%","","6.7%","","5.8%",""
"Total nonemployer establishments, 2021","","279,956","","254,212","","28,477,518",""
"All employer firms, Reference year 2017","","52,976","","44,964","","5,744,643",""
"Men-owned employer firms, Reference year 2017","","34,358","","29,262","","3,480,438",""
"Women-owned employer firms, Reference year 2017","","11,752","","10,125","","1,134,549",""
"Minority-owned employer firms, Reference year 2017","","16,025","","20,423","","1,014,958",""
"Nonminority-owned employer firms, Reference year 2017","","33,928","","22,039","","4,371,152",""
"Veteran-owned employer firms, Reference year 2017","","1,246","","1,032","","351,237",""
"Nonveteran-owned employer firms, Reference year 2017","","48,909","","41,558","","4,968,606",""
"Population per square mile, 2020","","39,437.8","","22,124.5","","93.8",""
"Population per square mile, 2010","","35,369.1","","20,553.6","","87.4",""
"Land area in square miles, 2020","","69.38","","108.72","","3,533,038.28",""
"Land area in square miles, 2010","","70.82","","108.53","","3,531,905.43",""
"FIPS Code","","""36047""","","""36081""","","""1""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"None","","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"NA","Not available","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"X","Not applicable","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","",""
